"Player","Team","Position","DK Projection","FD Projection","Std","Half","Full","Slate","DK Ceiling","FD Ceiling"
"Geno Smith","LV","QB","18.7","18.4","17.6","17.6","17.6","Main","29.2","29.1"
"Matthew Stafford","LA","QB","18.6","18.4","17.4","17.4","17.4","Main","28.9","28.9"
"Jordan Love","GB","QB","18.5","18.3","17.6","17.6","17.6","Sunday","29.1","29.0"
"Saquon Barkley","PHI","RB","18.3","17.0","14.7","15.9","17.1","Main","31.3","29.5"
"Marcus Mariota","WAS","QB","17.7","17.5","17.1","17.1","17.1","Main","27.8","27.7"
"Daniel Jones","IND","QB","17.4","17.2","16.7","16.7","16.7","Main","28.0","27.9"
"Amon-Ra St Brown","DET","WR","17.3","14.4","10.8","13.7","16.7","Main","31.6","27.3"
"Davante Adams","LA","WR","17.3","14.4","10.9","13.7","16.5","Main","31.2","27.0"
"Justin Jefferson","MIN","WR","17.1","14.2","10.4","13.4","16.3","Other","30.7","26.3"
"Malik Nabers","NYG","WR","17.1","14.1","10.4","13.3","16.3","Main","30.0","25.6"
"Baker Mayfield","TB","QB","17.1","16.9","16.4","16.4","16.4","Main","26.9","26.8"
"Jared Goff","DET","QB","17.0","16.9","16.3","16.3","16.3","Main","27.2","27.2"
"Bucky Irving","TB","RB","17.0","15.1","12.7","14.5","16.3","Main","29.4","26.9"
"Jaxson Dart","NYG","QB","16.8","16.5","16.1","16.1","16.1","Main","26.4","26.3"
"Nico Collins","HOU","WR","16.6","13.9","10.4","13.1","15.8","Main","30.1","26.0"
"Jordan Mason","MIN","RB","16.5","15.2","13.2","14.4","15.5","Other","28.6","26.9"
