O-D,Player,Player_ID,Team,Injury Description,Body Part,Body Zone,Severity,Incident Date,Year,Games Missed,Games On Injury Report,Injury Detail,Surgery,Recovery Timetable,Injured Reserve,IR from Previous inj.
O,Geoff Swaim,GS-1400,Arizona Cardinals,Back Soreness,back,upper body,Low Severity,Week 14,2023,,1,,,,,
O,Devin Duvernay,DD-2975,Baltimore Ravens,Bruised Back,back,upper body,Medium Severity,Week 14,2023,1,3,,,,Yes,
O,Dalton Kincaid,DK-0223,Buffalo Bills,Bruised Shoulder,shoulder,upper body,Low Severity,Week 14,2023,,2,,,,,
O,Justin Shorter,JS-4807,Buffalo Bills,Hamstring Strain,hamstring,lower body,Medium Severity,Week 9,2023,5,6,,,,Yes,
O,D.J. Moore,DM-2850,Chicago Bears,Ankle Sprain,ankle,lower body,Low Severity,Week 14,2023,,1,,,,,
O,Ja'Marr Chase,JC-9961,Cincinnati Bengals,Ankle Soreness,ankle,lower body,Low Severity,Week 14,2023,,1,,,,,
O,Jerome Ford,JF-7355,Cleveland Browns ,Sprained Wrist,wrist,upper body,Low Severity,Week 14,2023,,2,,,,,
O,Josh Reynolds,JR-1950,Detroit Lions,Back Soreness,back,upper body,Low Severity,Week 14,2023,,1,,,,,
O,Dontayvion Wicks,DW-0981,Green Bay Packers,Sprained Ankle,ankle,lower body,Low Severity,Week 14,2023,,1,,,,,
O,AJ Dillon,AD-1184,Green Bay Packers,Broken Thumb/Sprained Neck,hand,upper body,Medium Severity,Week 14,2023,4,6,,,,,
O,Jayden Reed,JR-1006,Green Bay Packers,Sprained Ankle,ankle,lower body,Low Severity,Week 14,2023,,1,,,,,
O,C.J. Stroud,CS-6150,Houston Texans,Concussion,head,upper body,Low Severity,Week 14,2023,2,3,,,,,
O,Hunter Long,HL-9947,Los Angeles Rams,Torn MCL,knee,lower body,High Severity,Week 14,2023,4,4,,,,Yes,
O,Tutu Atwell,TA-9961,Los Angeles Rams,Concussion,head,upper body,Low Severity,Week 14,2023,1,1,,,,,
O,Ben Skowronek,BS-9961,Los Angeles Rams,Bruised Ankle,ankle,lower body,Low Severity,Week 14,2023,,1,,,,,
O,Devon Achane,DA-5229,Miami Dolphins,Toe Soreness/Bruised Ribs,toe,lower body,Low Severity,Week 14,2023,,3,,,,,
O,Justin Jefferson,JJ-1325,Minnesota Vikings,Bruised Chest,chest,upper body,Low Severity,Week 14,2023,,1,,,,,
O,Alexander Mattison,AM-0825,Minnesota Vikings,Ankle Sprain,ankle,lower body,Low Severity,Week 14,2023,1,2,,,,,
O,Jalen Nailor,JN-0110,Minnesota Vikings,Concussion,head,upper body,Low Severity,Week 14,2023,4,4,,,,,
O,Chris Olave,CO-2375,New Orleans Saints,Bruised Ankle,ankle,lower body,Low Severity,Week 14,2023,1,3,,,,,
O,Jamaal Williams,JW-3650,New Orleans Saints,Groin Strain,groin,lower body,Low Severity,Week 14,2023,,1,,,,,
O,Diontae Johnson,DJ-1675,Pittsburgh Steelers,Knee Soreness,knee,lower body,Low Severity,Week 14,2023,,1,,,,,
O,Kyle Philips,KP-0111,Tennessee Titans,Hamstring Strain,hamstring,lower body,Low Severity,Week 14,2023,2,3,,,,,
O,Brian O'Neill,BO-0050,Minnesota Vikings,Ankle Sprain,ankle,lower body,Low Severity,Week 14,2023,2,3,,,,,
D,Joe Bachie,JB-0387,Cincinnati Bengals,Oblique Strain,oblique,upper body,Low Severity,Week 14,2023,1,1,,,,,
D,Nik Bonitto,NB-2389,Denver Broncos,Knee,knee,lower body,Low Severity,Week 13,2023,3,3,,,,,
D,P.J. Locke,PL-0113,Denver Broncos,Neck Soreness,neck,upper body,Low Severity,Week 14,2023,,1,,,,,
O,Taylor Decker,TD-0950,Detroit Lions,Back,back,upper body,Low Severity,Week 14,2023,,1,,,,,
D,Darius Slay,DS-2250,Philadelphia Eagles,Knee Surgery,knee,lower body,Low Severity,Week 14,2023,4,4,,,,,
O,Jackson Carman,JC-5822,Cincinnati Bengals,Illness,,#N/A,Low Severity,Week 14,2023,1,1,,,,,
O,Pat Elflein,PE-0192,Arizona Cardinals,Undisclosed,hip,lower body,Low Severity,Week 14,2023,17,,,,,,
D,Kentavius Street,KS-2375,Atlanta Falcons,Torn Pectoral,chest,upper body,High Severity,Week 14,2023,5,,,,,Yes,
D,A.J. Epenesa,AE-0950,Buffalo Bills,Ribs,rib,upper body,Low Severity,Week 14,2023,2,2,,,,,
D,Ogbonnia Okoronkwo,OO-0250,Cleveland Browns ,Pectoral,chest,upper body,Low Severity,Week 14,2023,3,4,,,,,
O,Ethan Pocic,EP-0575,Cleveland Browns ,Stinger,neck,upper body,Low Severity,Week 14,2023,1,1,,,,,
D,Johnathan Hankins,JH-0840,Dallas Cowboys,Ankle Sprain,ankle,lower body,Low Severity,Week 14,2023,3,4,,,,,
D,Tavierre Thomas,TT-0950,Houston Texans,Hamstring Strain,hamstring,lower body,Low Severity,Week 14,2023,5,,,,,Yes,
D,Blake Cashman,BC-0625,Houston Texans,Hamstring Strain,hamstring,lower body,Low Severity,Week 14,2023,2,2,,,,,
D,Will Anderson Jr.,#N/A,Houston Texans,Ankle Sprain,ankle,lower body,Low Severity,Week 14,2023,2,3,,,,,
D,Tyson Campbell,TC-1765,Jacksonville Jaguars,Quadriceps,quad,lower body,Low Severity,Week 14,2023,1,2,,,,,
D,Andre Cisco,AC-1663,Jacksonville Jaguars,Groin Strain,groin,lower body,Low Severity,Week 14,2023,1,2,,,,,
D,DeShon Elliott,DE-0725,Miami Dolphins,Concussion,head,upper body,Low Severity,Week 14,2023,1,1,,,,,
O,Robert Hunt,RH-3325,Miami Dolphins,Hamstring Strain,hamstring,lower body,Low Severity,Week 13,2023,4,4,,,,,
O,Justin Pugh,JP-4350,New York Giants,Calf Strain,calf,lower body,Low Severity,Week 14,2023,,1,,,,,
D,Will McDonald,WM-7777,New York Jets,Knee,knee,lower body,Low Severity,Week 14,2023,,1,,,,,
O,Carter Warren,CW-1111,New York Jets,Hip Soreness,hip,lower body,Low Severity,Week 14,2023,1,1,,,,,
O,Cam Jurgens,CJ-0110,Philadelphia Eagles,Pectoral,chest,upper body,Low Severity,Week 14,2023,1,1,,,,,
D,Zach Cunningham,ZC-0300,Philadelphia Eagles,Knee,knee,lower body,Low Severity,Week 14,2023,1,1,,,,,
D,Devon Witherspoon,DW-0229,Seattle Seahawks,Hip Pointer,hip,lower body,Low Severity,Week 14,2023,1,1,,,,,
D,Oren Burks,OB-0500,San Francisco 49ers,Knee Tendinitis,knee,lower body,Low Severity,Week 14,2023,2,2,,,,,
D,Javon Hargrave,JH-1375,San Francisco 49ers,Hamstring Strain,hamstring,lower body,Low Severity,Week 14,2023,1,2,,,,,
D,William Gholston,WG-0550,Tampa Bay Buccaneers,Knee,knee,lower body,Low Severity,Week 14,2023,1,2,,,,,
D,Carlton Davis,CD-0687,Tampa Bay Buccaneers,Groin Strain,groin,lower body,Low Severity,Week 14,2023,1,1,,,,,
D,Ryan Neal,RN-0087,Tampa Bay Buccaneers,Back,back,upper body,Low Severity,Week 14,2023,1,1,,,,,
O,Chris Lindstrom,CL-0962,Atlanta Falcons,Ankle Sprain,ankle,lower body,Low Severity,Week 14,2023,1,1,,,,,
D,Kyle Hamilton,KH-2607,Baltimore Ravens,Knee Soreness,knee,lower body,Low Severity,Week 14,2023,1,2,,,,,
D,Brian Burns,BB-3875,Carolina Panthers,Ankle Soreness,ankle,lower body,Low Severity,Week 14,2023,,1,,,,,
D,Jaquan Brisker,JB-6162,Chicago Bears,Groin Strain,groin,lower body,Low Severity,Week 14,2023,,1,,,,,
D,Anthony Walker,AW-0262,Cleveland Browns,Knee,knee,lower body,Low Severity,Week 14,2023,3,3,,,,,
O,Ethan Pocic,EP-0575,Cleveland Browns,Stinger,neck,upper body,Low Severity,Week 14,2023,1,1,,,,,
D,Malik Hooker,MH-3250,Dallas Cowboys,Ankle Sprain,ankle,lower body,Low Severity,Week 14,2023,1,2,,,,,
D,Darnell Savage,DS-0712,Green Bay Packers,Shoulder,shoulder,upper body,Low Severity,Week 14,2023,2,3,,,,,
O,Walker Little,WL-3489,Jacksonville Jaguars,Hamstring Strain,hamstring,lower body,Low Severity,Week 14,2023,,1,,,,,
O,Rob Havenstein,RH-1250,Los Angeles Rams,Groin Strain,groin,lower body,Low Severity,Week 14,2023,1,1,,,,,
O,Liam Eichenberg,LE-4267,Miami Dolphins,Calf Strain,calf,lower body,Low Severity,Week 14,2023,,2,,,,,
D,Andrew Van Ginkel,AV-0150,Miami Dolphins,Oblique Strain,oblique,upper body,Low Severity,Week 14,2023,,1,,,,,
O,Austin Jackson,AJ-0356,Miami Dolphins,Oblique Strain,oblique,upper body,Low Severity,Week 14,2023,,1,,,,,
D,Xavien Howard,XH-0100,Miami Dolphins,Hip Soreness,oblique,upper body,Low Severity,Week 14,2023,,2,,,,,
O,Ryan Ramczyk,RR-0122,New Orleans Saints,Knee,knee,lower body,Low Severity,Week 14,2023,4,4,,,,Yes,
D,Reed Blankenship,RB-0221,Philadelphia Eagles,Concussion,head,upper body,Low Severity,Week 14,2023,,1,,,,,
D,Charvarius Ward,CW-0637,San Francisco 49ers,Groin Strain,groin,lower body,Low Severity,Week 14,2023,,1,,,,,
D,Dre Greenlaw,DG-2693,San Francisco 49ers,Hip Soreness,hip,lower body,Low Severity,Week 14,2023,,1,,,,,
D,Denico Autry,DA-2050,Tennessee Titans,Knee,knee,lower body,Low Severity,Week 14,2023,,1,,,,,
D,K'Von Wallace,KW-0150,Tennessee Titans,Quadriceps,quad,lower body,Low Severity,Week 14,2023,1,2,,,,,
O,Brian Robinson,BR-2976,Washington Commanders,Hamstring Strain,hamstring,lower body,Low Severity,Week 14,2023,2,3,,,,,
O,Geoff Swaim,GS-1400,Arizona Cardinals,Calf Strain,calf,lower body,Medium Severity,Week 14,2023,4,4,,,,Yes,
O,Greg Dortch,GD-0450,Arizona Cardinals,Bruised Shoulder,shoulder,upper body,Low Severity,Week 14,2023,,1,,,,,
O,Keaton Mitchell,KM-2229,Baltimore Ravens,Torn ACL,knee,lower body,High Severity,Week 14,2023,4,,,Yes,,Yes,
O,James Cook,JC-2871,Buffalo Bills,Illness,,#N/A,Low Severity,Week 15,2023,,1,,,,,
O,Ty Johnson,TJ-2275,Buffalo Bills,Bruised Shoulder,shoulder,upper body,Low Severity,Week 15,2023,1,1,,,,,
O,Tommy Tremble,TT-9986,Carolina Panthers,Illness,,#N/A,Low Severity,Week 15,2023,,1,,,,,
O,Travis Homer,TH-2337,Chicago Bears,Hamstring Strain,hamstring,lower body,Low Severity,Week 15,2023,,1,,,,,
O,Darnell Mooney,DM-2793,Chicago Bears,Illness,,#N/A,Low Severity,Week 15,2023,,1,,,,,
O,Ja'Marr Chase,JC-9961,Cincinnati Bengals,Shoulder Sprain,shoulder,upper body,Low Severity,Week 15,2023,1,2,,,,,
O,Joe Flacco,JF-1900,Cleveland Browns,Calf Strain,calf,lower body,Low Severity,Week 15,2023,,1,,,,,
O,Brock Wright,BW-2892,Detroit Lions,bruised hip,hip,lower body,Low Severity,Week 15,2023,3,3,,,,,
O,Jayden Reed,JR-1006,Green Bay Packers,Toe Sprain,toe,lower body,Low Severity,Week 15,2023,1,1,,,,,
O,Emanuel Wilson,EW-2223,Green Bay Packers,Shoulder Bruise,shoulder,upper body,Low Severity,Week 15,2023,,1,,,,,
O,John Metchie,JM-1417,Houston Texans,Illness,,#N/A,Low Severity,Week 15,2023,,1,,,,,
O,Brevin Jordan,BJ-9947,Houston Texans,Illness,,#N/A,Low Severity,Week 15,2023,,1,,,,,
O,Zack Moss,ZM-0350,Indianapolis Colts,Arm Bruise,arm,upper body,Low Severity,Week 15,2023,2,3,,,,,
O,Michael Pittman,MP-1350,Indianapolis Colts,Concussion,head,upper body,Low Severity,Week 15,2023,1,1,,,,,
O,Zay Jones,ZJ-0100,Jacksonville Jaguars,Hamstring Strain,hamstring,lower body,Low Severity,Week 15,2023,1,2,,,,,
O,Trevor Lawrence,TL-9921,Jacksonville Jaguars,Concussion,head,upper body,Low Severity,Week 15,2023,,1,,,,,
O,Skyy Moore,SM-7319,Kansas City Chiefs,Knee Swelling,knee,Lower body,Medium Severity,Week 15,2023,5,5,,Yes,,Yes,
O,Will Levis,WL-1245,Tennessee Titans,Ankle Sprain,ankle,lower body,Low Severity,Week 15,2023,2,3,,,,,
O,Treylon Burks,TB-8372,Tennessee Titans,Illness,,#N/A,Low Severity,Week 15,2023,,1,,,,,
O,Trevon Wesco,TW-1325,Tennessee Titans,shin bruise,shin,lower body,Low Severity,Week 15,2023,1,1,,,,,
O,Kenneth Walker,KW-2389,Seattle Seahawks,Bruised Shoulder,shoulder,upper body,Low Severity,Week 15,2023,,3,,,,,
O,Jaylen Waddle,JW-9961,Miami Dolphins,Bruised Chest,chest,upper body,Low Severity,Week 15,2023,,1,,,,,
O,Matthew Slater,MS-2100,New England Patriots,Hamstring Strain,hamstring,lower body,Low Severity,Week 15,2023,,1,,,,,
O,Hunter Henry,HH-0225,New England Patriots,Knee Soreness,knee,lower body,Low Severity,Week 15,2023,2,2,,,,,
O,Israel Abanikanda,IA-0222,New York Jets,Ankle Sprain,ankle,lower body,Low Severity,Week 15,2023,,1,,,,,
O,Zach Wilson,ZW-9921,New York Jets,Concussion,head,upper body,Low Severity,Week 15,2023,2,2,,,,,
D,Tre'Vius Hodges-Tomlinson,TH-5555,Los Angeles Rams,Hamstring Strain,hamstring,lower body,Low Severity,Week 15,2023,2,3,,,,,
O,Joseph Noteboom,JN-2000,Los Angeles Rams,Foot,foot,lower body,Low Severity,Week 15,2023,1,3,,,,,
D,Lonnie Johnson,LJ-1187,New Orleans Saints,Knee,knee,lower body,Low Severity,Week 15,2023,3,3,,,,,
D,Josh Woods,JW-6350,Arizona Cardinals,Core Muscle Injury,abdomen,upper body,Medium Severity,Week 15,2023,3,,,,,Yes,
D,D.J. Reader,DR-0625,Cincinnati Bengals,Torn Quadriceps,quad,lower body,Medium Severity,Week 15,2023,3,,,,,Yes,
D,Tony Brown,TB-0105,Indianapolis Colts,Suspension,,#N/A,Medium Severity,Week 15,2023,3,,,,,,
O,Will Clapp,WC-0125,Los Angeles Chargers,Knee,knee,lower body,Medium Severity,Week 15,2023,3,,,,,Yes,
O,Cole Strange,CS-8270,New England Patriots,Knee,knee,lower body,Medium Severity,Week 15,2023,3,,,,,Yes,
D,Quinton Jefferson,QJ-0150,New York Jets,Hip,hip,lower body,Medium Severity,Week 15,2023,3,,,,,Yes,
D,Damontae Kazee,DK-0362,Pittsburgh Steelers,Suspension,,#N/A,Medium Severity,Week 15,2023,4,,,,,,
D,Minkah Fitzpatrick,MF-0550,Pittsburgh Steelers,Knee Bruise,knee,lower body,Low Severity,Week 15,2023,3,3,,,,,
D,Jordan Phillips,JP-2850,Buffalo Bills,Wrist Surgery,wrist,upper body,Medium Severity,Week 15,2023,4,,,,,,
D,DaQuan Jones,DJ-2250,Buffalo Bills,Torn Pectoral,chest,upper body,Low Severity,Week 5,2023,10,,,,,Yes,
D,Garrett Williams,GW-0224,Arizona Cardinals,Knee,knee,lower body,Low Severity,Week 15,2023,3,3,,,,,
O,Teven Jenkins,TJ-3031,Chicago Bears,Concussion,head,upper body,Low Severity,Week 15,2023,1,1,,,,,
D,Jerry Jacobs,JJ-0913,Detroit Lions,Hamstring Strain,hamstring,lower body,Low Severity,Week 15,2023,1,1,,,,,
D,Byron Murphy,BM-3687,Minnesota Vikings,Knee,knee,lower body,Low Severity,Week 15,2023,3,3,,,,,
D,Jabrill Peppers,JP-1975,New England Patriots,Hamstring Strain,hamstring,lower body,Low Severity,Week 15,2023,2,2,,,,,
D,Frank Clark,FC-0150,Kansas City Chiefs,Illness,,#N/A,Low Severity,Week 15,2023,1,1,,,,,
D,Sean Murphy-Bunting,SB-1950,Tennessee Titans,Hip Pointer,hip,lower body,Low Severity,Week 15,2023,1,1,,,,,
D,Amani Hooker,AH-3625,Tennessee Titans,Knee,knee,lower body,Medium Severity,Week 15,2023,3,,,,,Yes,
D,Luke Gifford,LG-0287,Tennessee Titans,Hamstring Strain,hamstring,lower body,Low Severity,Week 15,2023,1,1,,,,,
O,Tyler Larsen,TL-0450,Washington Commanders,Knee,knee,lower body,Low Severity,Week 15,2023,1,1,,,,,
O,Charles Leno,CL-0862,Washington Commanders,Calf Strain,calf,lower body,Low Severity,Week 15,2023,1,1,,,,,
O,Keith Smith,KS-1400,Atlanta Falcons,Ankle Sprain,ankle,lower body,Low Severity,Week 15,2023,3,,,,,Yes,
D,Bud Dupree,BD-1200,Atlanta Falcons,Back,back,upper body,Low Severity,Week 15,2023,,1,,,,,
D,Arthur Maulet,AM-0850,Baltimore Ravens,Knee Bruise,knee,lower body,Low Severity,Week 15,2023,1,1,,,,,
O,Tyron Smith,TS-2700,Dallas Cowboys,Back,back,upper body,Low Severity,Week 15,2023,1,2,,,,,
D,Derrick Barnes,DB-3795,Detroit Lions,Shoulder,shoulder,upper body,Low Severity,Week 15,2023,1,1,,,,,
D,Ivan Pace,IP-7777,Minnesota Vikings,Shoulder,shoulder,upper body,Low Severity,Week 15,2023,,1,,,,,
D,A'Shawn Robinson,AR-1115,New York Giants,Back,back,upper body,Low Severity,Week 15,2023,,1,,,,,
O,Duane Brown,DB-4900,New York Jets,Back,back,upper body,Low Severity,Week 15,2023,3,3,,,,Yes,
O,Landon Dickerson,LD-6134,Philadelphia Eagles,Thumb,thumb,upper body,Low Severity,Week 15,2023,1,1,,,,,
D,Nicholas Morrow,NM-0675,Philadelphia Eagles,Abdomen,abdomen,upper body,Low Severity,Week 15,2023,1,1,,,,,
D,Avonte Maddox,AM-0250,Philadelphia Eagles,Pectoral,chest,upper body,Low Severity,Week 15,2023,1,1,,,,,
D,Clelin Ferrell,CF-0362,San Francisco 49ers,Ankle Sprain,ankle,lower body,Low Severity,Week 15,2023,,1,,,,,
O,Ben Bartch,BB-1075,San Francisco 49ers,Finger,finger,upper body,Low Severity,Week 15,2023,,1,,,,,
D,Antoine Winfield,AW-1806,Tampa Bay Buccaneers,Calf Strain,calf,lower body,Low Severity,Week 15,2023,,1,,,,,
D,Jalyn Armour-Davis,JA-0110,Baltimore Ravens,Concussion,head,upper body,Low Severity,Week 15,2023,3,3,,,,Yes,
D,Antonio Hamilton,AH-0762,Arizona Cardinals,Calf Strain,calf,lower body,Low Severity,Week 15,2023,,1,,,,,
O,Joel Bitonio,JB-3550,Cleveland Browns,Back,back,upper body,Low Severity,Week 15,2023,,1,,,,,
O,Zack Martin,ZM-0050,Dallas Cowboys,Thigh,leg,lower body,Low Severity,Week 15,2023,,1,,,,,
D,Chauncey Gardner-Johnson,CG-0275,Detroit Lions,Torn Pectoral,chest,upper body,High Severity,Week 2,2023,14,,,Yes,,Yes,
D,Denzel Perryman,DP-1250,Houston Texans,Achilles Strain,achilles,lower body,High Severity,Week 15,2023,,1,,,,,
D,Maliek Collins,MC-2150,Houston Texans,Hip,hip,lower body,Low Severity,Week 15,2023,,1,,,,,
D,Cam Smith,CS-0222,Miami Dolphins,Hamstring Strain,hamstring,lower body,Low Severity,Week 15,2023,1,1,,,,,
D,Emmanuel Ogbah,EO-0075,Miami Dolphins,Hamstring Strain,hamstring,lower body,Low Severity,Week 15,2023,1,1,,,,,
D,Harrison Phillips,HP-0050,Minnesota Vikings,Back,back,upper body,Low Severity,Week 15,2023,,1,,,,,
D,Jonathan Jones,JJ-4565,New England Patriots,Ankle Sprain,ankle,lower body,Low Severity,Week 2,2023,3,3,,,,,
D,Jahlani Tavai,JT-0687,New England Patriots,Ankle Sprain,ankle,lower body,Low Severity,Week 15,2023,,1,,,,,
O,Matt Peart,MP-0825,New York Giants,Shoulder,shoulder,upper body,Low Severity,Week 5,2023,10,,,,,Yes,
D,John Franklin-Myers,JF-3042,New York Jets,Hip,hip,lower body,Low Severity,Week 15,2023,,1,,,,,
D,Jordan Whitehead,JW-2687,New York Jets,Knee,knee,lower body,Low Severity,Week 15,2023,,1,,,,,
D,Tre Brown,SB-9172,Seattle Seahawks,Heel,heel,lower body,Low Severity,Week 15,2023,,1,,,,,
O,Daniel Brunskill,DB-4950,Tennessee Titans,Ankle Sprain,ankle,lower body,Low Severity,Week 15,2023,2,2,,,,,
O,Charles Leno,CL-0862,Washington Commanders,Calf Strain,calf,lower body,Low Severity,Week 15,2023,1,1,,,,,
O,Cole Kmet,CK-0925,Chicago Bears,Quad Bruise,quad,lower body,Low Severity,Week 15,2023,,1,,,,,
O,Michael Mayer,MM-9285,Las Vegas Raiders,Toe Soreness,toe,lower body,Medium Severity,Week 15,2023,3,3,,,,,
O,Lawrence Cager,LC-0105,New York Giants,Groin Strain,groin,lower body,Low Severity,Week 15,2023,2,2,,,,,
O,Jauan Jennings,JJ-1850,San Francisco 49ers,Concussion,head,upper body,Low Severity,Week 15,2023,3,3,,,,,
O,Dorian Thompson-Robinson,DT-6721,Cleveland Browns,Hip pointer,hip,lower body,Medium Severity,Week 16,2023,3,1,,,,Yes,
O,Amari Cooper,AC-2350,Cleveland Browns,Heel Soreness,heel,lower body,Low Severity,Week 16,2023,2,3,,,,,
O,Marquise Goodwin,MG-1050,Cleveland Browns,Knee Soreness,knee,lower body,Low Severity,Week 16,2023,1,2,,,,,
O,Jeremy Ruckert,JR-2445,New York Jets,Concussion,head,upper body,Low Severity,Week 16,2023,2,2,,,,,
O,Taylor Heinicke,TH-1250,Atlanta Falcons,Ankle Soreness,ankle,lower body,Low Severity,Week 16,2023,1,2,,,,,
O,Chuba Hubbard,CH-9919,Carolina Panthers,Hamstring Strain,hamstring,lower body,Low Severity,Week 16,2023,,1,,,,,
O,Darnell Mooney,DM-2793,Chicago Bears,Concussion,head,upper body,Low Severity,Week 16,2023,2,2,,,,,
O,Zay Flowers,ZF-1532,Baltimore Ravens,Calf Soreness,calf,lower body,Low Severity,Week 15,2023,1,4,,,,,
O,Cole Kmet,CK-0925,Chicago Bears,Knee Soreness,knee,lower body,Low Severity,Week 16,2023,,1,,,,,
O,Courtland Sutton,CS-4462,Denver Broncos,Concussion,head,upper body,Low Severity,Week 16,2023,1,2,,,,,
O,Chris Rodriguez,CR-4253,Washington Commanders,Foot Sprain,foot,lower body,Low Severity,Week 16,2023,2,2,,,,Yes,
O,Dontayvion Wicks,DW-0981,Green Bay Packers,Bruised Ribs,rib,upper body,Low Severity,Week 16,2023,,2,,,,,
O,D.J. Montgomery,DM-2781,Indianapolis Colts,Groin Strain,groin,lower body,Low Severity,Week 16,2023,,1,,,,,
O,Josh Palmer,JP-9961,Los Angeles Chargers,Concussion,head,upper body,Low Severity,Week 16,2023,1,2,,,,,
O,Isiah Pacheco,IP-0110,Kansas City Chiefs,Concussion,head,upper body,Low Severity,Week 16,2023,,1,,,,,
O,Chosen Robbie Anderson,RA-1125,Miami Dolphins ,Concussion,head,upper body,Low Severity,Week 16,2023,,1,,,,,
D,Jonathan Ledbetter,JL-0775,Arizona Cardinals,Knee,knee,lower body,Medium Severity,Week 16,2023,2,2,,,,,
D,Amare Barno,AB-6789,Carolina Panthers,Knee,knee,lower body,Medium Severity,Week 16,2023,2,,,,,Yes,
D,Jaire Alexander,JA-0475,Green Bay Packers,Suspension,,#N/A,Low Severity,Week 16,2023,1,1,,,,,
D,Jimmie Ward,JW-0750,Houston Texans,Quadricpes Strain,quad,lower body,Medium Severity,Week 16,2023,2,,,,,Yes,
D,Julian Blackmon,JB-3625,Indianapolis Colts,Shoulder,shoulder,upper body,Medium Severity,Week 16,2023,2,,,,,Yes,
D,D.J. Wonnum,DW-4262,Minnesota Vikings,Quadriceps Tear,quad,lower body,Medium Severity,Week 16,2023,2,,,,,Yes,
O,Conor McDermott,CM-1525,New England Patriots,Concussion,head,upper body,Low Severity,Week 16,2023,1,1,,,,,
O,Kyler Murray,KM-3500,Arizona Cardinals,Illness,,#N/A,Low Severity,Week 16,2023,,1,,,,,
O,Trevor Lawrence,TL-9921,Jacksonville Jaguars,Bruised Right Shoulder,shoulder,upper body,Low Severity,Week 16,2023,1,2,,,,,
O,Jesper Horsted,JH-5350,Las Vegas Raiders,Hamstring Strain,hamstring,lower body,Medium Severity,Week 16,2023,2,1,,,,Yes,
O,Tua Tagovailoa,TT-0075,Miami Dolphins,Bruised Thumb/Quad Strain,hand,upper body,Low Severity,Week 16,2023,,1,,,,,
O,Jaylen Waddle,JW-9961,Miami Dolphins,High Ankle Sprain,ankle,lower body,Medium Severity,Week 16,2023,2,3,,,,,
O,T.J. Hockenson,TH-1875,Minnesota Vikings,Torn ACL/MCL,knee,lower body,High Severity,Week 16,2023,,1,,,,,
O,Jordan Addison,JA-9146,Minnesota Vikings,Sprained Ankle,ankle,lower body,Low Severity,Week 16,2023,,1,,,,,
O,Darren Waller,DW-0675,New York Giants,Knee Soreness,knee,lower body,Low Severity,Week 16,2023,,1,,,,,
O,Saquon Barkley,SB-0212,New York Giants,Elbow Soreness,elbow,upper body,Low Severity,Week 16,2023,,1,,,,,
O,Wan'Dale Robinson,WR-6740,New York Giants,Quad Soreness,quad,lower body,Low Severity,Week 16,2023,,1,,,,,
O,Noah Fant,NF-0175,Seattle Seahawks ,Knee Soreness,knee,lower body,Low Severity,Week 16,2023,,1,,,,,
O,Jaxon Smith-Njigba,JS-7857,Seattle Seahawks,Knee Bruise,knee,lower body,Low Severity,Week 16,2023,,1,,,,,
O,Brock Purdy,BP-1362,San Francisco 49ers,Shoulder Stinger,shoulder,upper body,Low Severity,Week 16,2023,,1,,,,,
O,Jake Bobo,JB-2224,Seattle Seahawks,Knee Soreness,knee,lower body,Low Severity,Week 16,2023,,1,,,,,
O,Deebo Samuel,DS-0150,San Francisco 49ers,Sprained Neck,neck,upper body,Low Severity,Week 16,2023,,1,,,,,
O,Danny Gray,DG-9609,San Francisco 49ers,Bruised Shoulder,shoulder,upper body,Low Severity,Week 16,2023,,1,,,,,
O,Ko Kieft,KK-0110,Tampa Bay Buccaneers,Bruised Shoulder,shoulder,upper body,Low Severity,Week 16,2023,1,1,,,,,
O,Chris Moore,CM-2675,Tennessee Titans,Bruised ribs,rib,upper body,Low Severity,Week 16,2023,,1,,,,,
